2020-07-27 23:41:04 | FUNC:Welcome | UNIT: nil | TEXT: Вас приветствует "СТП Контроллер" v1.0 (230919) 
2020-07-27 23:41:50 | FUNC:Welcome | UNIT: nil | TEXT: Вас приветствует "СТП Контроллер" v1.0 (230919) 
2020-07-29 20:44:28 | FUNC:Welcome | UNIT: nil | TEXT: Вас приветствует "СТП Контроллер" v1.0 (230919) 
2020-07-30 13:24:55 | FUNC:Welcome | UNIT: nil | TEXT: Вас приветствует "СТП Контроллер" v1.0 (230919) 
2020-07-30 13:33:32 | FUNC:Welcome | UNIT: nil | TEXT: Вас приветствует "СТП Контроллер" v1.0 (230919) 
2020-07-30 13:45:29 | FUNC:Welcome | UNIT: nil | TEXT: Вас приветствует "СТП Контроллер" v1.0 (230919) 
2020-07-30 13:45:50 | FUNC:Welcome | UNIT: nil | TEXT: Вас приветствует "СТП Контроллер" v1.0 (230919) 
2020-07-30 13:46:17 | FUNC:Welcome | UNIT: nil | TEXT: Вас приветствует "СТП Контроллер" v1.0 (230919) 
2020-07-30 13:46:44 | FUNC:Welcome | UNIT: nil | TEXT: Вас приветствует "СТП Контроллер" v1.0 (230919) 
